,PLAYER_ID,GP,MIN,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,REB,AST,STL,BLK,PTS
61,308,64,16.1,1.9,0.465,0.0,0.0,0.9,0.492,3.4,0.5,0.6,0.5,4.7
62,1747,27,13.4,1.0,0.284,0.1,0.214,0.1,0.75,0.9,2.6,0.4,0.0,2.2
63,1824,2,2.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
64,680,28,12.8,1.0,0.414,0.0,0.0,0.7,0.576,1.9,0.3,0.2,0.4,2.8
65,732,54,20.4,2.2,0.48,0.0,0.0,1.8,0.651,5.6,0.6,0.4,0.2,6.3
66,202329,81,17.9,2.0,0.394,0.6,0.315,1.1,0.773,3.3,0.7,0.7,0.3,5.6
67,200811,1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,76034,33,11.3,1.7,0.385,,,0.7,0.548,2.1,0.9,,,4.0
69,2365,24,10.9,1.0,0.338,0.0,0.0,0.9,0.786,3.2,0.3,0.3,1.2,3.0
70,2431,63,14.1,2.3,0.432,0.4,0.346,0.7,0.687,3.3,0.7,0.2,0.2,5.8
71,101187,36,15.7,2.1,0.414,0.7,0.414,0.9,0.805,1.9,0.9,0.3,0.1,5.8
72,202079,1,14.6,1.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
73,76035,18,5.2,0.4,0.241,,,0.7,0.429,0.6,0.9,,,1.4
74,76036,43,10.5,1.1,0.448,,,0.6,0.867,0.7,1.9,0.4,0.0,2.8
75,1507,66,27.9,3.6,0.408,0.3,0.202,4.2,0.873,2.8,3.4,1.3,0.2,11.7
76,76037,5,6.6,1.4,0.5,0.0,0.0,1.4,0.7,0.4,0.6,0.2,0.0,4.2
77,944,16,2.8,0.3,0.278,0.0,0.0,0.7,0.846,0.9,0.2,0.2,0.1,1.3
78,246,82,24.2,4.6,0.501,0.0,0.2,2.4,0.604,6.3,1.0,0.7,1.5,11.7
79,202341,26,11.0,1.2,0.383,0.7,0.391,0.5,0.778,0.9,0.7,0.1,0.2,3.6
80,76040,22,5.7,1.1,0.556,,,0.5,0.688,0.6,0.3,0.1,0.1,2.8
81,1626147,55,11.8,1.3,0.406,0.4,0.265,0.8,0.8,2.4,0.5,0.3,0.5,3.8
82,72,64,17.0,2.9,0.39,0.0,0.231,1.1,0.745,2.0,3.2,1.0,0.1,7.0
83,76041,21,10.7,1.1,0.312,,,0.7,0.536,2.1,0.7,0.2,0.2,3.0
84,203937,33,10.9,0.9,0.348,0.1,0.273,0.3,0.643,2.2,0.8,0.5,0.2,2.2
85,76042,36,20.3,2.0,0.417,0.0,0.143,1.6,0.695,2.5,4.3,1.2,0.1,5.7
86,76043,13,3.7,0.6,0.364,0.0,0.0,0.1,0.333,0.9,0.1,0.1,0.0,1.3
87,98,81,22.0,4.6,0.494,0.0,0.059,2.3,0.705,3.9,1.5,0.9,0.4,11.5
88,76045,78,16.3,2.2,0.404,0.1,0.368,0.6,0.696,3.5,1.5,0.7,0.3,5.2
89,76046,36,14.4,2.3,0.431,0.0,0.5,1.1,0.82,2.4,0.9,0.3,0.2,5.8
